sold_date,address,location,boarea,biarea,rooms,plot,price
29 september 2016,Hallsbrovägen 3,"Kärna, Kungälvs kommun",60.0,8.0,2.0,1801.0,1150000.0
29 september 2016,Lökebergsvägen 41,"Lökeberg, Kungälvs kommun",44.0,6.0,2.0,1511.0,2550000.0
29 september 2016,Domsvägen 3,"Ytterby, Kungälvs kommun",157.0,99.0,6.0,921.0,4850000.0
25 september 2016,Plogvägen 180,"Kungälv, Kungälvs kommun",106.0,5.0,None,338.0,4300000.0
23 september 2016,Bärtas väg 13,"Ödsmålsmosse, Kungälvs kommun",75.0,5.0,3.0,1418.0,3250000.0
23 september 2016,Onyxvägen 19,"Kode, Kungälvs kommun",155.0,5.0,7.0,557.0,4750000.0
17 september 2016,Lingonvägen 38,"Centralt, Kungälvs kommun",127.0,5.0,5.0,428.0,4560000.0
14 september 2016,Djupuddsvägen 20,"Marstrand - Instön, Kungälvs kommun",112.0,5.0,3.0,1438.0,3500000.0
13 september 2016,Kastellegårdsgatan 47,"KUNGÄLV, Kungälvs kommun",116.0,50.0,4.0,938.0,3425000.0
10 september 2016,Rosenstensvägen 41,"Kode, Kungälvs kommun",135.0,50.0,None,193.0,2800000.0
9 september 2016,Annas väg 25,"Kovikshamn, Kungälvs kommun",62.0,22.0,3.0,1026.0,2730000.0
2 september 2016,Knaverstad-Ryr 580,"Aröd, Kungälvs kommun",158.0,4.0,6.0,1012.0,2840000.0
1 september 2016,Solrosvägen 12,"Kärna, Kungälvs kommun",135.0,96.0,8.0,818.0,3325000.0
30 augusti 2016,Bergåsvägen 16 C-D,"Ytterby, Kungälvs kommun",175.5,96.0,6.0,600.0,4700000.0
28 augusti 2016,Åkerhög 310,"Vedhall - Åkerhög, Kungälvs kommun",65.0,96.0,3.0,1500.0,2050000.0
26 augusti 2016,Skårby Mosse 870,"Bohuslän, Kungälvs kommun",147.0,50.0,5.0,3073.0,4000000.0
25 augusti 2016,Rörtången 126,"Rörtången, Kungälvs kommun",170.0,20.0,5.0,1638.0,8700000.0
24 augusti 2016,Sjöhåla Strandväg 14,"Kovikshamn, Kungälvs kommun",164.0,20.0,4.0,1075.0,5700000.0
20 augusti 2016,Tegskiftegatan 20,"YTTERBY, Kungälvs kommun",102.0,102.0,5.0,969.0,3550000.0
18 augusti 2016,Bärtas väg 23,"Ödsmålsmosse, Kungälvs kommun",51.0,20.0,3.0,1380.0,3025000.0
15 augusti 2016,Långgatan 8,"Marstrandsön, Kungälvs kommun",244.0,50.0,11.0,318.0,11250000.0
14 augusti 2016,Instölid 40,"Marstrand-Instön, Kungälvs kommun",70.0,50.0,4.0,1010.0,3500000.0
12 augusti 2016,Åsebyberg 847,"KODE, Kungälvs kommun",120.0,15.0,4.0,1163.0,3300000.0
8 augusti 2016,Bremnäs 305,"LYCKE, Kungälvs kommun",115.0,15.0,4.0,1979.0,4000000.0
28 juli 2016,Tröskvägen 256,"Ullstorp, Kungälvs kommun",149.0,9.0,6.0,440.0,5355000.0
27 juli 2016,Östra röd 248,"HARESTAD, Kungälvs kommun",144.0,9.0,None,2006.0,4200000.0
25 juli 2016,Stenstavägen 21,"Tjuvkil, Kungälvs kommun",140.0,58.0,6.0,1223.0,6000000.0
20 juli 2016,Rombacka 180,"Kareby, Kungälvs kommun",53.0,7.0,2.0,2031.0,1075000.0
18 juli 2016,Vedbackavägen 4 A + B,"Rödbo, Kungälvs kommun",254.0,42.0,7.0,1046.0,2900000.0
15 juli 2016,Lefstad 110,"Kärna, Kungälvs kommun",182.0,42.0,8.0,2630.0,2600000.0
15 juli 2016,Gunneröd 290,"Lycke, Kungälvs kommun",132.0,39.0,4.0,2125.0,2300000.0
13 juli 2016,Duvesjön 228,"Duvesjön, Kungälvs kommun",121.0,37.0,5.0,1150.0,3400000.0
11 juli 2016,Violgatan 7,"Ytterby, Kungälvs kommun",139.0,36.0,7.0,588.0,4200000.0
10 juli 2016,Instölid 65,"Marstrand-Instön, Kungälvs kommun",60.0,36.0,4.0,1012.0,3320000.0
8 juli 2016,Rörtången 103,"Rörtången, Kungälvs kommun",162.0,62.0,5.0,1015.0,7250000.0
