epoch,accuracy
1,93.46
2,95.35
3,96.52
4,97.17
5,97.39
6,97.5
7,97.64
8,97.73
9,97.79
10,97.76
11,97.81
12,97.79
13,97.87
14,97.89
15,97.91
16,97.94
17,97.92
18,98.02
19,98.07
20,98.08
21,98.14
22,98.19
23,98.21
24,98.23
25,98.24
26,98.23
27,98.23
28,98.25
29,98.28
30,98.27
31,98.28
32,98.27
33,98.28
34,98.27
35,98.27
36,98.27
37,98.29
38,98.27
39,98.27
40,98.27
